timestep,month,day,hour,minute,in_fault,alarm,flow_ratio,temp_error,temp_error_2h_avg,t_supply,S_stuck_closed,S_stuck_open,S_supply_curve,state,diagnosed_fault
488,10,4,9,20,0,0,0.2929885646750039,-0.0001017794057425,-0.0002159479564859,60.00000000000001,False,False,False,not_alarmed,
489,10,4,9,30,0,0,0.2570664910028335,-9.986517666504824e-05,-0.0002016146570126,60.0,False,False,False,not_alarmed,
490,10,4,9,40,0,0,0.2164961575879773,-7.498314633380687e-05,-0.0001821354671435,59.99999999999999,False,False,False,not_alarmed,
491,10,4,9,50,0,0,0.1686984255899251,-3.8675230683793416e-05,-0.0001565711049398,60.000000000000014,False,False,False,not_alarmed,
492,10,4,9,65,0,0,0.1043731125315862,-1.1337557552337785e-05,-0.0001253488311053,60.0,False,False,False,not_alarmed,
618,10,5,6,60,0,0,0.6636475222325943,-0.0002813269327646,-0.017449457145459,60.0,False,False,False,not_alarmed,
619,10,5,7,12,0,0,0.606718937606401,-2.758184847806433e-05,-0.0002893307232447,60.0,False,False,False,not_alarmed,
620,10,5,7,20,0,0,0.596989801187972,-0.0001331728106279,-0.0002573896514649,59.99999999999999,False,False,False,not_alarmed,
621,10,5,7,30,0,0,0.5907432843338651,-0.0001598191674752,-0.0002260002249624,60.0,False,False,False,not_alarmed,
622,10,5,7,40,0,0,0.5852758067326833,-0.0001739262574957,-0.0001972800086127,59.99999999999999,False,False,False,not_alarmed,
623,10,5,7,50,0,0,0.5804460433888843,-0.0001856986925936,-0.0001967742605361,60.0,False,False,False,not_alarmed,
624,10,5,7,60,0,0,0.5759452910051,-0.0001971183109041,-0.0002013909723771,59.99999999999999,False,False,False,not_alarmed,
625,10,5,8,10,0,0,0.4161140247667647,-0.0001703674669641,-0.00019767788016,60.0,False,False,False,not_alarmed,
626,10,5,8,20,0,0,0.3859492270016892,-0.0001088247216287,-0.0001864782461054,60.0,False,False,False,not_alarmed,
627,10,5,8,30,0,0,0.3688842894231224,-0.0001281465811224,-0.0001756880283192,60.00000000000001,False,False,False,not_alarmed,
628,10,5,8,40,0,0,0.3551153977569691,-0.0001575797806694,-0.0001665402414226,60.0,False,False,False,not_alarmed,
629,10,5,8,50,0,0,0.3440182762086039,-9.451045576014394e-05,-0.0001515060855403,60.0,False,False,False,not_alarmed,
630,10,5,8,60,0,0,0.3318120766841701,-0.000103772408643,-0.0001367098751969,60.0,False,False,False,not_alarmed,
631,10,5,9,10,0,0,0.3033533790922236,-8.343891613193932e-05,-0.0001413646308347,60.0,False,False,False,not_alarmed,
632,10,5,9,20,0,0,0.2731502492068209,-7.298582897163897e-05,-0.00013634904903,59.99999999999999,False,False,False,not_alarmed,
